    Z      	  a(m)    	   a'    	  b(m) 	   b'
8.2E-4	3.074436E-4	9.154411E-3	3.074436E-4	9.154411E-3
8.3E-4	3.075351E-4	9.15627E-3	3.075351E-4	9.15627E-3
8.4E-4	3.076267E-4	9.15813E-3	3.076267E-4	9.15813E-3
8.5E-4	3.077183E-4	9.159988E-3	3.077183E-4	9.159988E-3
8.6E-4	3.078099E-4	9.161847E-3	3.078099E-4	9.161847E-3
8.7E-4	3.079015E-4	9.163704E-3	3.079015E-4	9.163704E-3
8.8E-4	3.079932E-4	9.165561E-3	3.079932E-4	9.165561E-3
8.9E-4	3.080848E-4	9.167418E-3	3.080848E-4	9.167418E-3
9E-4	3.081765E-4	9.169274E-3	3.081765E-4	9.169274E-3
9.1E-4	3.082682E-4	9.171129E-3	3.082682E-4	9.171129E-3
9.2E-4	3.083599E-4	9.172984E-3	3.083599E-4	9.172984E-3
9.3E-4	3.084517E-4	9.174838E-3	3.084517E-4	9.174838E-3
9.4E-4	3.085434E-4	9.176692E-3	3.085434E-4	9.176692E-3
9.5E-4	3.086352E-4	9.178545E-3	3.086352E-4	9.178545E-3
9.6E-4	3.08727E-4	9.180398E-3	3.08727E-4	9.180398E-3
9.7E-4	3.088188E-4	9.18225E-3	3.088188E-4	9.18225E-3
9.8E-4	3.089106E-4	9.184102E-3	3.089106E-4	9.184102E-3
9.9E-4	3.090025E-4	9.185953E-3	3.090025E-4	9.185953E-3
1E-3	3.090944E-4	9.187803E-3	3.090944E-4	9.187803E-3
1.0159E-3	3.092356E-4	8.581355E-3	3.092453E-4	9.800139E-3
1.0318E-3	3.093673E-4	7.974637E-3	3.09406E-4	1.041278E-2
1.0477E-3	3.094892E-4	7.367668E-3	3.095765E-4	1.102575E-2
1.0636E-3	3.096015E-4	6.760466E-3	3.097566E-4	1.163906E-2
1.0795E-3	3.097042E-4	6.153051E-3	3.099466E-4	1.225273E-2
1.0954E-3	3.097972E-4	5.545442E-3	3.101463E-4	1.286679E-2
1.1113E-3	3.098806E-4	4.937657E-3	3.103557E-4	1.348125E-2
1.1272E-3	3.099542E-4	4.329717E-3	3.10575E-4	1.409613E-2
1.1431E-3	3.100182E-4	3.721639E-3	3.10804E-4	1.471145E-2
1.159E-3	3.100726E-4	3.113444E-3	3.110428E-4	1.532723E-2
1.1749E-3	3.101172E-4	2.505149E-3	3.112914E-4	1.594349E-2
1.1908E-3	3.101522E-4	1.896775E-3	3.115498E-4	1.656025E-2
1.2067E-3	3.101776E-4	1.288339E-3	3.11818E-4	1.717752E-2
1.2226E-3	3.101932E-4	6.798622E-4	3.120961E-4	1.779533E-2
1.2385E-3	3.101992E-4	7.136249E-5	3.123839E-4	1.84137E-2
1.2544E-3	3.101955E-4	-5.371409E-4	3.126816E-4	1.903265E-2
1.2703E-3	3.101821E-4	-1.145629E-3	3.129892E-4	1.965219E-2
1.2862E-3	3.10159E-4	-1.754082E-3	3.133066E-4	2.027234E-2
1.3021E-3	3.101263E-4	-2.362482E-3	3.136338E-4	2.089313E-2
1.318E-3	3.100839E-4	-2.970809E-3	3.13971E-4	2.151457E-2
1.3339E-3	3.100318E-4	-3.579044E-3	3.14318E-4	2.213668E-2
1.3498E-3	3.099701E-4	-4.187169E-3	3.146749E-4	2.275949E-2
1.3657E-3	3.098987E-4	-4.795164E-3	3.150417E-4	2.338301E-2
1.3816E-3	3.098176E-4	-5.40301E-3	3.154185E-4	2.400726E-2
1.3975E-3	3.097269E-4	-6.010687E-3	3.158052E-4	2.463226E-2
1.4134E-3	3.096265E-4	-6.618178E-3	3.162018E-4	2.525803E-2
1.4293E-3	3.095164E-4	-7.225463E-3	3.166084E-4	2.588459E-2
1.4452E-3	3.093967E-4	-7.832523E-3	3.170249E-4	2.651196E-2
1.4611E-3	3.092674E-4	-8.439339E-3	3.174515E-4	2.714016E-2
1.477E-3	3.091283E-4	-9.045891E-3	3.17888E-4	2.776921E-2
1.4929E-3	3.089797E-4	-9.652162E-3	3.183345E-4	2.839913E-2
1.5088E-3	3.088214E-4	-1.025813E-2	3.187911E-4	2.902994E-2
1.5247E-3	3.086535E-4	-1.086378E-2	3.192577E-4	2.966166E-2
1.5406E-3	3.084759E-4	-1.146909E-2	3.197343E-4	3.02943E-2
1.5565E-3	3.082888E-4	-1.207404E-2	3.202211E-4	3.092789E-2
1.5724E-3	3.08092E-4	-1.267862E-2	3.207179E-4	3.156245E-2
1.5883E-3	3.078856E-4	-1.32828E-2	3.212248E-4	3.2198E-2
1.6042E-3	3.076696E-4	-1.388656E-2	3.217418E-4	3.283456E-2
1.6201E-3	3.07444E-4	-1.448989E-2	3.222689E-4	3.347214E-2
1.636E-3	3.072088E-4	-1.509277E-2	3.228062E-4	3.411077E-2
1.6519E-3	3.069641E-4	-1.569517E-2	3.233536E-4	3.475047E-2
1.6678E-3	3.067097E-4	-1.629709E-2	3.239113E-4	3.539126E-2
1.6837E-3	3.064458E-4	-1.68985E-2	3.244791E-4	3.603315E-2
1.6996E-3	3.061723E-4	-1.749937E-2	3.250571E-4	3.667617E-2
1.7155E-3	3.058893E-4	-1.80997E-2	3.256454E-4	3.732034E-2
1.7314E-3	3.055968E-4	-1.869947E-2	3.262439E-4	3.796568E-2
1.7473E-3	3.052947E-4	-1.929865E-2	3.268527E-4	3.861221E-2
1.7632E-3	3.049831E-4	-1.989723E-2	3.274718E-4	3.925995E-2
1.7791E-3	3.04662E-4	-2.049518E-2	3.281012E-4	3.990891E-2
1.795E-3	3.043313E-4	-2.10925E-2	3.287409E-4	4.055912E-2
1.8109E-3	3.039912E-4	-2.168915E-2	3.29391E-4	4.121061E-2
1.8268E-3	3.036416E-4	-2.228513E-2	3.300514E-4	4.186338E-2
1.8427E-3	3.032826E-4	-2.288041E-2	3.307222E-4	4.251747E-2
1.8586E-3	3.02914E-4	-2.347497E-2	3.314035E-4	4.317288E-2
1.8745E-3	3.025361E-4	-2.40688E-2	3.320951E-4	4.382965E-2
1.8904E-3	3.021487E-4	-2.466187E-2	3.327972E-4	4.448779E-2
1.9063E-3	3.017518E-4	-2.525418E-2	3.335098E-4	4.514732E-2
1.9222E-3	3.013456E-4	-2.584569E-2	3.342329E-4	4.580827E-2
1.9381E-3	3.009299E-4	-2.64364E-2	3.349666E-4	4.647065E-2
1.954E-3	3.005049E-4	-2.702628E-2	3.357107E-4	4.713448E-2
1.9699E-3	3.000705E-4	-2.761531E-2	3.364654E-4	4.779979E-2
1.9858E-3	2.996267E-4	-2.820348E-2	3.372308E-4	4.84666E-2
2.0017E-3	2.991736E-4	-2.879077E-2	3.380067E-4	4.913492E-2
2.0176E-3	2.987112E-4	-2.937715E-2	3.387933E-4	4.980479E-2
2.0335E-3	2.982394E-4	-2.996262E-2	3.395905E-4	5.047621E-2
2.0494E-3	2.977584E-4	-3.054715E-2	3.403984E-4	5.114921E-2
2.0653E-3	2.972681E-4	-3.113072E-2	3.41217E-4	5.182382E-2
2.0812E-3	2.967684E-4	-3.171332E-2	3.420464E-4	5.250004E-2
2.0971E-3	2.962596E-4	-3.229493E-2	3.428866E-4	5.317791E-2
2.113E-3	2.957415E-4	-3.287552E-2	3.437375E-4	5.385745E-2
2.1289E-3	2.952141E-4	-3.345509E-2	3.445992E-4	5.453867E-2
2.1448E-3	2.946776E-4	-3.403361E-2	3.454718E-4	5.52216E-2
2.1607E-3	2.941319E-4	-3.461107E-2	3.463553E-4	5.590626E-2
2.1766E-3	2.93577E-4	-3.518744E-2	3.472496E-4	5.659267E-2
2.1925E-3	2.930129E-4	-3.576271E-2	3.481549E-4	5.728086E-2
2.2084E-3	2.924397E-4	-3.633686E-2	3.490712E-4	5.797083E-2
2.2243E-3	2.918574E-4	-3.690987E-2	3.499984E-4	5.866262E-2
2.2402E-3	2.91266E-4	-3.748173E-2	3.509367E-4	5.935625E-2
