    Z      	  a(m)    	   a'    	  b(m) 	   b'
8.3E-5	1.900015E-4	3.578756E-5	1.900015E-4	3.578756E-5
8.4E-5	1.900015E-4	3.621873E-5	1.900015E-4	3.621873E-5
8.5E-5	1.900016E-4	3.66499E-5	1.900016E-4	3.66499E-5
8.6E-5	1.900016E-4	3.708107E-5	1.900016E-4	3.708107E-5
8.7E-5	1.900016E-4	3.751224E-5	1.900016E-4	3.751224E-5
8.8E-5	1.900017E-4	3.794341E-5	1.900017E-4	3.794341E-5
8.9E-5	1.900017E-4	3.837458E-5	1.900017E-4	3.837458E-5
9E-5	1.900017E-4	3.880575E-5	1.900017E-4	3.880575E-5
9.1E-5	1.900018E-4	3.923693E-5	1.900018E-4	3.923693E-5
9.2E-5	1.900018E-4	3.96681E-5	1.900018E-4	3.96681E-5
9.3E-5	1.900019E-4	4.009927E-5	1.900019E-4	4.009927E-5
9.4E-5	1.900019E-4	4.053044E-5	1.900019E-4	4.053044E-5
9.5E-5	1.900019E-4	4.096161E-5	1.900019E-4	4.096161E-5
9.6E-5	1.90002E-4	4.139278E-5	1.90002E-4	4.139278E-5
9.7E-5	1.90002E-4	4.182395E-5	1.90002E-4	4.182395E-5
9.8E-5	1.900021E-4	4.225512E-5	1.900021E-4	4.225512E-5
9.9E-5	1.900021E-4	4.268629E-5	1.900021E-4	4.268629E-5
1E-4	1.900022E-4	4.311746E-5	1.900022E-4	4.311746E-5
1.01E-4	1.900022E-4	4.354862E-5	1.900022E-4	4.354862E-5
1.02E-4	1.900022E-4	4.397979E-5	1.900022E-4	4.397979E-5
1.03E-4	1.900023E-4	4.441096E-5	1.900023E-4	4.441096E-5
1.04E-4	1.900023E-4	4.484213E-5	1.900023E-4	4.484213E-5
1.05E-4	1.900024E-4	4.52733E-5	1.900024E-4	4.52733E-5
1.06E-4	1.900024E-4	4.570447E-5	1.900024E-4	4.570447E-5
1.07E-4	1.900025E-4	4.613564E-5	1.900025E-4	4.613564E-5
1.08E-4	1.900025E-4	4.65668E-5	1.900025E-4	4.65668E-5
1.09E-4	1.900026E-4	4.699797E-5	1.900026E-4	4.699797E-5
1.1E-4	1.900026E-4	4.742914E-5	1.900026E-4	4.742914E-5
1.11E-4	1.900027E-4	4.786031E-5	1.900027E-4	4.786031E-5
1.12E-4	1.900027E-4	4.829148E-5	1.900027E-4	4.829148E-5
1.13E-4	1.900028E-4	4.872264E-5	1.900028E-4	4.872264E-5
1.14E-4	1.900028E-4	4.915381E-5	1.900028E-4	4.915381E-5
1.15E-4	1.900029E-4	4.958498E-5	1.900029E-4	4.958498E-5
