    Z      	  a(m)    	   a'    	  b(m) 	   b'
8E-4	2.540812E-4	5.202813E-3	2.460815E-4	-4.796212E-3
8.1E-4	2.541332E-4	5.205342E-3	2.460335E-4	-4.793658E-3
8.2E-4	2.541853E-4	5.20787E-3	2.459856E-4	-4.791105E-3
8.3E-4	2.542374E-4	5.210399E-3	2.459377E-4	-4.788552E-3
8.4E-4	2.542895E-4	5.212927E-3	2.458898E-4	-4.785998E-3
8.5E-4	2.543417E-4	5.215455E-3	2.45842E-4	-4.783445E-3
8.6E-4	2.543938E-4	5.217982E-3	2.457941E-4	-4.780891E-3
8.7E-4	2.54446E-4	5.22051E-3	2.457463E-4	-4.778337E-3
8.8E-4	2.544982E-4	5.223037E-3	2.456986E-4	-4.775783E-3
8.9E-4	2.545505E-4	5.225564E-3	2.456508E-4	-4.773229E-3
9E-4	2.546027E-4	5.228092E-3	2.456031E-4	-4.770674E-3
9.1E-4	2.54655E-4	5.230618E-3	2.455554E-4	-4.76812E-3
9.2E-4	2.547074E-4	5.233145E-3	2.455077E-4	-4.765565E-3
9.3E-4	2.547597E-4	5.235672E-3	2.454601E-4	-4.76301E-3
9.4E-4	2.548121E-4	5.238198E-3	2.454125E-4	-4.760456E-3
9.5E-4	2.548645E-4	5.240724E-3	2.453649E-4	-4.757901E-3
9.6E-4	2.549169E-4	5.24325E-3	2.453173E-4	-4.755345E-3
9.7E-4	2.549693E-4	5.245776E-3	2.452698E-4	-4.75279E-3
9.8E-4	2.550218E-4	5.248302E-3	2.452223E-4	-4.750235E-3
9.9E-4	2.550743E-4	5.250828E-3	2.451748E-4	-4.747679E-3
1E-3	2.551268E-4	5.253353E-3	2.451273E-4	-4.745123E-3
1.0159E-3	2.552094E-4	5.131629E-3	2.450529E-4	-4.620287E-3
1.0318E-3	2.5529E-4	5.009865E-3	2.449804E-4	-4.495486E-3
1.0477E-3	2.553687E-4	4.88806E-3	2.449099E-4	-4.370721E-3
1.0636E-3	2.554454E-4	4.766217E-3	2.448414E-4	-4.245989E-3
1.0795E-3	2.555203E-4	4.644337E-3	2.447749E-4	-4.12129E-3
1.0954E-3	2.555931E-4	4.522419E-3	2.447103E-4	-3.996624E-3
1.1113E-3	2.556641E-4	4.400466E-3	2.446478E-4	-3.871988E-3
1.1272E-3	2.557331E-4	4.278478E-3	2.445872E-4	-3.747382E-3
1.1431E-3	2.558001E-4	4.156456E-3	2.445286E-4	-3.622806E-3
1.159E-3	2.558652E-4	4.034401E-3	2.44472E-4	-3.498257E-3
1.1749E-3	2.559284E-4	3.912314E-3	2.444174E-4	-3.373736E-3
1.1908E-3	2.559896E-4	3.790196E-3	2.443647E-4	-3.249241E-3
1.2067E-3	2.560489E-4	3.668049E-3	2.443141E-4	-3.124771E-3
1.2226E-3	2.561063E-4	3.545872E-3	2.442654E-4	-3.000326E-3
1.2385E-3	2.561617E-4	3.423667E-3	2.442186E-4	-2.875904E-3
1.2544E-3	2.562152E-4	3.301434E-3	2.441739E-4	-2.751504E-3
1.2703E-3	2.562667E-4	3.179176E-3	2.441311E-4	-2.627126E-3
1.2862E-3	2.563163E-4	3.056893E-3	2.440904E-4	-2.502768E-3
1.3021E-3	2.563639E-4	2.934585E-3	2.440516E-4	-2.378429E-3
1.318E-3	2.564096E-4	2.812254E-3	2.440147E-4	-2.254109E-3
1.3339E-3	2.564533E-4	2.689901E-3	2.439799E-4	-2.129806E-3
1.3498E-3	2.564951E-4	2.567526E-3	2.43947E-4	-2.005521E-3
1.3657E-3	2.56535E-4	2.445131E-3	2.439161E-4	-1.88125E-3
1.3816E-3	2.565729E-4	2.322717E-3	2.438872E-4	-1.756995E-3
1.3975E-3	2.566088E-4	2.200284E-3	2.438602E-4	-1.632753E-3
1.4134E-3	2.566428E-4	2.077834E-3	2.438353E-4	-1.508523E-3
1.4293E-3	2.566749E-4	1.955367E-3	2.438123E-4	-1.384306E-3
1.4452E-3	2.56705E-4	1.832885E-3	2.437912E-4	-1.260099E-3
1.4611E-3	2.567332E-4	1.710388E-3	2.437722E-4	-1.135902E-3
1.477E-3	2.567594E-4	1.587877E-3	2.437551E-4	-1.011714E-3
1.4929E-3	2.567837E-4	1.465354E-3	2.4374E-4	-8.875341E-4
1.5088E-3	2.56806E-4	1.34282E-3	2.437269E-4	-7.633609E-4
1.5247E-3	2.568264E-4	1.220274E-3	2.437157E-4	-6.391937E-4
1.5406E-3	2.568448E-4	1.097719E-3	2.437066E-4	-5.150315E-4
1.5565E-3	2.568613E-4	9.751555E-4	2.436994E-4	-3.908734E-4
1.5724E-3	2.568758E-4	8.525839E-4	2.436941E-4	-2.667184E-4
1.5883E-3	2.568884E-4	7.300055E-4	2.436909E-4	-1.425655E-4
1.6042E-3	2.56899E-4	6.074213E-4	2.436896E-4	-1.841384E-5
1.6201E-3	2.569077E-4	4.848322E-4	2.436903E-4	1.057376E-4
1.636E-3	2.569145E-4	3.622392E-4	2.43693E-4	2.298899E-4
1.6519E-3	2.569192E-4	2.396433E-4	2.436976E-4	3.540438E-4
1.6678E-3	2.569221E-4	1.170454E-4	2.437042E-4	4.782005E-4
1.6837E-3	2.56923E-4	-5.55348E-6	2.437128E-4	6.023607E-4
1.6996E-3	2.569219E-4	-1.281524E-4	2.437234E-4	7.265256E-4
1.7155E-3	2.569189E-4	-2.507503E-4	2.437359E-4	8.50696E-4
1.7314E-3	2.569139E-4	-3.733464E-4	2.437504E-4	9.74873E-4
1.7473E-3	2.56907E-4	-4.959396E-4	2.437669E-4	1.099057E-3
1.7632E-3	2.568982E-4	-6.185289E-4	2.437854E-4	1.22325E-3
1.7791E-3	2.568873E-4	-7.411134E-4	2.438058E-4	1.347453E-3
1.795E-3	2.568746E-4	-8.636921E-4	2.438282E-4	1.471665E-3
1.8109E-3	2.568599E-4	-9.86264E-4	2.438526E-4	1.595889E-3
1.8268E-3	2.568432E-4	-1.108828E-3	2.43879E-4	1.720126E-3
1.8427E-3	2.568246E-4	-1.231384E-3	2.439073E-4	1.844375E-3
1.8586E-3	2.568041E-4	-1.35393E-3	2.439376E-4	1.968639E-3
1.8745E-3	2.567816E-4	-1.476465E-3	2.439699E-4	2.092918E-3
1.8904E-3	2.567571E-4	-1.598989E-3	2.440042E-4	2.217213E-3
1.9063E-3	2.567307E-4	-1.7215E-3	2.440404E-4	2.341525E-3
1.9222E-3	2.567024E-4	-1.843997E-3	2.440786E-4	2.465856E-3
1.9381E-3	2.566721E-4	-1.96648E-3	2.441188E-4	2.590205E-3
1.954E-3	2.566398E-4	-2.088948E-3	2.44161E-4	2.714574E-3
1.9699E-3	2.566057E-4	-2.211399E-3	2.442052E-4	2.838965E-3
1.9858E-3	2.565695E-4	-2.333833E-3	2.442513E-4	2.963377E-3
2.0017E-3	2.565314E-4	-2.456248E-3	2.442994E-4	3.087812E-3
2.0176E-3	2.564914E-4	-2.578644E-3	2.443495E-4	3.212271E-3
2.0335E-3	2.564494E-4	-2.70102E-3	2.444015E-4	3.336755E-3
2.0494E-3	2.564055E-4	-2.823374E-3	2.444556E-4	3.461264E-3
2.0653E-3	2.563597E-4	-2.945706E-3	2.445116E-4	3.585801E-3
2.0812E-3	2.563118E-4	-3.068015E-3	2.445696E-4	3.710365E-3
2.0971E-3	2.562621E-4	-3.1903E-3	2.446296E-4	3.834958E-3
2.113E-3	2.562104E-4	-3.31256E-3	2.446916E-4	3.95958E-3
2.1289E-3	2.561568E-4	-3.434793E-3	2.447555E-4	4.084233E-3
2.1448E-3	2.561012E-4	-3.557E-3	2.448215E-4	4.208918E-3
2.1607E-3	2.560436E-4	-3.679178E-3	2.448894E-4	4.333635E-3
2.1766E-3	2.559842E-4	-3.801327E-3	2.449593E-4	4.458386E-3
2.1925E-3	2.559228E-4	-3.923447E-3	2.450311E-4	4.583171E-3
2.2084E-3	2.558594E-4	-4.045535E-3	2.45105E-4	4.707991E-3
2.2243E-3	2.557941E-4	-4.167592E-3	2.451809E-4	4.832848E-3
2.2402E-3	2.557269E-4	-4.289616E-3	2.452587E-4	4.957743E-3
2.2561E-3	2.556577E-4	-4.411605E-3	2.453385E-4	5.082676E-3
2.272E-3	2.555866E-4	-4.53356E-3	2.454203E-4	5.207648E-3
2.2879E-3	2.555135E-4	-4.65548E-3	2.455041E-4	5.33266E-3
2.3038E-3	2.554385E-4	-4.777362E-3	2.455899E-4	5.457714E-3
2.3197E-3	2.553616E-4	-4.899207E-3	2.456777E-4	5.58281E-3
2.3356E-3	2.552827E-4	-5.021014E-3	2.457674E-4	5.707949E-3
2.3515E-3	2.552019E-4	-5.14278E-3	2.458592E-4	5.833132E-3
2.3674E-3	2.551192E-4	-5.264506E-3	2.459529E-4	5.95836E-3
2.3833E-3	2.550345E-4	-5.386191E-3	2.460487E-4	6.083635E-3
2.3992E-3	2.549479E-4	-5.507833E-3	2.461464E-4	6.208957E-3
2.4151E-3	2.548594E-4	-5.629431E-3	2.462461E-4	6.334326E-3
