Current (A)= 1.0E-5
Energy (V)= 8000.0
Mass (u)= 40.0
Emittance (m-rad)= 9.45E-7

    Z      	  a (m)    	   a'    	  b (m) 	   b'
8.1E-4	1.024319E-3	3.004646E-2	1.024319E-3	3.004646E-2
8.2E-4	1.024619E-3	3.004703E-2	1.024619E-3	3.004703E-2
8.3E-4	1.02492E-3	3.00476E-2	1.02492E-3	3.00476E-2
8.4E-4	1.02522E-3	3.004816E-2	1.02522E-3	3.004816E-2
8.5E-4	1.025521E-3	3.004873E-2	1.025521E-3	3.004873E-2
8.6E-4	1.025821E-3	3.00493E-2	1.025821E-3	3.00493E-2
8.7E-4	1.026122E-3	3.004986E-2	1.026122E-3	3.004986E-2
8.8E-4	1.026422E-3	3.005043E-2	1.026422E-3	3.005043E-2
8.9E-4	1.026723E-3	3.005099E-2	1.026723E-3	3.005099E-2
9E-4	1.027023E-3	3.005156E-2	1.027023E-3	3.005156E-2
9.1E-4	1.027324E-3	3.005212E-2	1.027324E-3	3.005212E-2
9.2E-4	1.027624E-3	3.005269E-2	1.027624E-3	3.005269E-2
9.3E-4	1.027925E-3	3.005325E-2	1.027925E-3	3.005325E-2
9.4E-4	1.028225E-3	3.005382E-2	1.028225E-3	3.005382E-2
9.5E-4	1.028526E-3	3.005438E-2	1.028526E-3	3.005438E-2
9.6E-4	1.028827E-3	3.005494E-2	1.028827E-3	3.005494E-2
9.7E-4	1.029127E-3	3.005551E-2	1.029127E-3	3.005551E-2
9.8E-4	1.029428E-3	3.005607E-2	1.029428E-3	3.005607E-2
9.9E-4	1.029728E-3	3.005664E-2	1.029728E-3	3.005664E-2
1E-3	1.030029E-3	3.00572E-2	1.030029E-3	3.00572E-2
1.0159E-3	1.0305E-3	2.924313E-2	1.030513E-3	3.087306E-2
1.0318E-3	1.030959E-3	2.842869E-2	1.031011E-3	3.168932E-2
1.0477E-3	1.031404E-3	2.761389E-2	1.031521E-3	3.250597E-2
1.0636E-3	1.031837E-3	2.679875E-2	1.032044E-3	3.332303E-2
1.0795E-3	1.032256E-3	2.598327E-2	1.032581E-3	3.41405E-2
1.0954E-3	1.032663E-3	2.516746E-2	1.03313E-3	3.495841E-2
1.1113E-3	1.033057E-3	2.435133E-2	1.033692E-3	3.577676E-2
1.1272E-3	1.033437E-3	2.35349E-2	1.034268E-3	3.659555E-2
1.1431E-3	1.033805E-3	2.271817E-2	1.034856E-3	3.741481E-2
1.159E-3	1.03416E-3	2.190116E-2	1.035457E-3	3.823453E-2
1.1749E-3	1.034502E-3	2.108386E-2	1.036072E-3	3.905474E-2
1.1908E-3	1.03483E-3	2.026631E-2	1.036699E-3	3.987544E-2
1.2067E-3	1.035146E-3	1.94485E-2	1.03734E-3	4.069664E-2
1.2226E-3	1.035449E-3	1.863044E-2	1.037993E-3	4.151835E-2
1.2385E-3	1.035739E-3	1.781215E-2	1.03866E-3	4.234058E-2
1.2544E-3	1.036015E-3	1.699363E-2	1.03934E-3	4.316334E-2
1.2703E-3	1.036279E-3	1.61749E-2	1.040033E-3	4.398665E-2
1.2862E-3	1.03653E-3	1.535597E-2	1.040739E-3	4.48105E-2
1.3021E-3	1.036767E-3	1.453684E-2	1.041458E-3	4.563493E-2
1.318E-3	1.036992E-3	1.371753E-2	1.04219E-3	4.645992E-2
1.3339E-3	1.037203E-3	1.289804E-2	1.042935E-3	4.72855E-2
1.3498E-3	1.037402E-3	1.20784E-2	1.043694E-3	4.811167E-2
1.3657E-3	1.037588E-3	1.12586E-2	1.044465E-3	4.893845E-2
1.3816E-3	1.03776E-3	1.043866E-2	1.04525E-3	4.976585E-2
1.3975E-3	1.037919E-3	9.618584E-3	1.046048E-3	5.059386E-2
1.4134E-3	1.038066E-3	8.79839E-3	1.046859E-3	5.142252E-2
1.4293E-3	1.038199E-3	7.978085E-3	1.047683E-3	5.225182E-2
1.4452E-3	1.03832E-3	7.157679E-3	1.04852E-3	5.308178E-2
1.4611E-3	1.038427E-3	6.337183E-3	1.049371E-3	5.39124E-2
1.477E-3	1.038521E-3	5.516607E-3	1.050235E-3	5.47437E-2
1.4929E-3	1.038602E-3	4.695961E-3	1.051112E-3	5.55757E-2
1.5088E-3	1.03867E-3	3.875255E-3	1.052002E-3	5.640838E-2
1.5247E-3	1.038726E-3	3.0545E-3	1.052906E-3	5.724178E-2
1.5406E-3	1.038768E-3	2.233707E-3	1.053822E-3	5.80759E-2
1.5565E-3	1.038797E-3	1.412885E-3	1.054752E-3	5.891075E-2
1.5724E-3	1.038813E-3	5.920445E-4	1.055696E-3	5.974634E-2
1.5883E-3	1.038815E-3	-2.288036E-4	1.056652E-3	6.058268E-2
1.6042E-3	1.038805E-3	-1.049649E-3	1.057622E-3	6.141978E-2
1.6201E-3	1.038782E-3	-1.870482E-3	1.058605E-3	6.225765E-2
1.636E-3	1.038746E-3	-2.691292E-3	1.059602E-3	6.309631E-2
1.6519E-3	1.038696E-3	-3.512068E-3	1.060612E-3	6.393575E-2
1.6678E-3	1.038634E-3	-4.3328E-3	1.061635E-3	6.477601E-2
1.6837E-3	1.038559E-3	-5.153479E-3	1.062672E-3	6.561707E-2
1.6996E-3	1.03847E-3	-5.974092E-3	1.063722E-3	6.645897E-2
1.7155E-3	1.038369E-3	-6.794632E-3	1.064785E-3	6.730169E-2
1.7314E-3	1.038254E-3	-7.615086E-3	1.065862E-3	6.814527E-2
1.7473E-3	1.038127E-3	-8.435444E-3	1.066952E-3	6.898969E-2
1.7632E-3	1.037986E-3	-9.255697E-3	1.068056E-3	6.983499E-2
1.7791E-3	1.037832E-3	-1.007583E-2	1.069173E-3	7.068117E-2
1.795E-3	1.037665E-3	-1.089584E-2	1.070304E-3	7.152823E-2
1.8109E-3	1.037486E-3	-1.171572E-2	1.071448E-3	7.237619E-2
1.8268E-3	1.037293E-3	-1.253545E-2	1.072605E-3	7.322506E-2
1.8427E-3	1.037087E-3	-1.335502E-2	1.073776E-3	7.407486E-2
1.8586E-3	1.036868E-3	-1.417442E-2	1.074961E-3	7.492558E-2
1.8745E-3	1.036636E-3	-1.499364E-2	1.076159E-3	7.577725E-2
1.8904E-3	1.036391E-3	-1.581268E-2	1.07737E-3	7.662987E-2
1.9063E-3	1.036133E-3	-1.663152E-2	1.078596E-3	7.748345E-2
1.9222E-3	1.035863E-3	-1.745014E-2	1.079834E-3	7.833801E-2
1.9381E-3	1.035579E-3	-1.826855E-2	1.081087E-3	7.919355E-2
1.954E-3	1.035282E-3	-1.908673E-2	1.082353E-3	8.005008E-2
1.9699E-3	1.034972E-3	-1.990468E-2	1.083632E-3	8.090763E-2
1.9858E-3	1.034649E-3	-2.072237E-2	1.084926E-3	8.176619E-2
2.0017E-3	1.034313E-3	-2.15398E-2	1.086233E-3	8.262578E-2
2.0176E-3	1.033964E-3	-2.235696E-2	1.087553E-3	8.34864E-2
2.0335E-3	1.033602E-3	-2.317384E-2	1.088887E-3	8.434808E-2
2.0494E-3	1.033227E-3	-2.399042E-2	1.090235E-3	8.521082E-2
2.0653E-3	1.032839E-3	-2.480671E-2	1.091597E-3	8.607462E-2
2.0812E-3	1.032438E-3	-2.562268E-2	1.092973E-3	8.693951E-2
2.0971E-3	1.032024E-3	-2.643834E-2	1.094362E-3	8.78055E-2
2.113E-3	1.031597E-3	-2.725366E-2	1.095765E-3	8.867259E-2
2.1289E-3	1.031157E-3	-2.806864E-2	1.097182E-3	8.954079E-2
2.1448E-3	1.030705E-3	-2.888326E-2	1.098612E-3	9.041012E-2
2.1607E-3	1.030239E-3	-2.969753E-2	1.100057E-3	9.128058E-2
2.1766E-3	1.02976E-3	-3.051142E-2	1.101515E-3	9.215219E-2
2.1925E-3	1.029269E-3	-3.132492E-2	1.102987E-3	9.302496E-2
2.2084E-3	1.028764E-3	-3.213804E-2	1.104473E-3	9.38989E-2
2.2243E-3	1.028247E-3	-3.295074E-2	1.105973E-3	9.477403E-2
2.2402E-3	1.027716E-3	-3.376304E-2	1.107487E-3	9.565034E-2
2.2561E-3	1.027173E-3	-3.457491E-2	1.109015E-3	9.652785E-2
2.272E-3	1.026617E-3	-3.538635E-2	1.110557E-3	9.740658E-2
2.2879E-3	1.026048E-3	-3.619734E-2	1.112112E-3	9.828654E-2
2.3038E-3	1.025466E-3	-3.700787E-2	1.113682E-3	9.916773E-2
2.3197E-3	1.024871E-3	-3.781795E-2	1.115266E-3	1.000502E-1
2.3356E-3	1.024263E-3	-3.862754E-2	1.116864E-3	1.009339E-1
2.3515E-3	1.023642E-3	-3.943665E-2	1.118476E-3	1.018188E-1
2.3674E-3	1.023009E-3	-4.024527E-2	1.120102E-3	1.027051E-1
2.3833E-3	1.022363E-3	-4.105338E-2	1.121742E-3	1.035926E-1
2.3992E-3	1.021703E-3	-4.186097E-2	1.123396E-3	1.044814E-1
2.4151E-3	1.021031E-3	-4.266804E-2	1.125064E-3	1.053716E-1
2.431E-3	1.020347E-3	-4.347457E-2	1.126747E-3	1.062631E-1
2.4469E-3	1.019649E-3	-4.428055E-2	1.128443E-3	1.071559E-1
2.4628E-3	1.018939E-3	-4.508598E-2	1.130154E-3	1.0805E-1
2.4787E-3	1.018215E-3	-4.589084E-2	1.131879E-3	1.089455E-1
2.4946E-3	1.017479E-3	-4.669513E-2	1.133619E-3	1.098424E-1
2.5105E-3	1.01673E-3	-4.749883E-2	1.135372E-3	1.107407E-1
2.5264E-3	1.015969E-3	-4.830193E-2	1.13714E-3	1.116404E-1
2.5423E-3	1.015194E-3	-4.910442E-2	1.138922E-3	1.125414E-1
2.5582E-3	1.014407E-3	-4.99063E-2	1.140719E-3	1.134439E-1
2.5741E-3	1.013607E-3	-5.070754E-2	1.14253E-3	1.143478E-1
2.59E-3	1.012795E-3	-5.150816E-2	1.144355E-3	1.152532E-1
2.6E-3	1.01228E-3	-5.150762E-2	1.145508E-3	1.152537E-1
2.61E-3	1.011765E-3	-5.150708E-2	1.14666E-3	1.152542E-1
2.62E-3	1.01125E-3	-5.150654E-2	1.147813E-3	1.152548E-1
2.63E-3	1.010734E-3	-5.1506E-2	1.148965E-3	1.152553E-1
2.64E-3	1.010219E-3	-5.150546E-2	1.150118E-3	1.152558E-1
2.65E-3	1.009704E-3	-5.150493E-2	1.151271E-3	1.152564E-1
2.66E-3	1.009189E-3	-5.150439E-2	1.152423E-3	1.152569E-1
