Current (A)= 1.0E-5
Energy (V)= 8000.0
Mass (u)= 40.0
Emittance (m-rad)= 9.45E-7

    Z      	  a (m)    	   a'    	  b (m) 	   b'
8.1E-4	1.252998E-4	7.397394E-4	1.252998E-4	7.397394E-4
8.2E-4	1.253073E-4	7.488423E-4	1.253073E-4	7.488423E-4
8.3E-4	1.253148E-4	7.579442E-4	1.253148E-4	7.579442E-4
8.4E-4	1.253224E-4	7.670449E-4	1.253224E-4	7.670449E-4
8.5E-4	1.253302E-4	7.761446E-4	1.253302E-4	7.761446E-4
8.6E-4	1.25338E-4	7.852431E-4	1.25338E-4	7.852431E-4
8.7E-4	1.253459E-4	7.943405E-4	1.253459E-4	7.943405E-4
8.8E-4	1.253538E-4	8.034367E-4	1.253538E-4	8.034367E-4
8.9E-4	1.253619E-4	8.125318E-4	1.253619E-4	8.125318E-4
9E-4	1.253701E-4	8.216257E-4	1.253701E-4	8.216257E-4
9.1E-4	1.253784E-4	8.307184E-4	1.253784E-4	8.307184E-4
9.2E-4	1.253867E-4	8.398099E-4	1.253867E-4	8.398099E-4
9.3E-4	1.253952E-4	8.489002E-4	1.253952E-4	8.489002E-4
9.4E-4	1.254037E-4	8.579892E-4	1.254037E-4	8.579892E-4
9.5E-4	1.254123E-4	8.670771E-4	1.254123E-4	8.670771E-4
9.6E-4	1.25421E-4	8.761636E-4	1.25421E-4	8.761636E-4
9.7E-4	1.254298E-4	8.852489E-4	1.254298E-4	8.852489E-4
9.8E-4	1.254387E-4	8.943329E-4	1.254387E-4	8.943329E-4
9.9E-4	1.254477E-4	9.034156E-4	1.254477E-4	9.034156E-4
1E-3	1.254568E-4	9.124971E-4	1.254568E-4	9.124971E-4
1.0159E-3	1.254707E-4	8.345767E-4	1.254722E-4	1.019291E-3
1.0318E-3	1.254833E-4	7.566434E-4	1.254892E-4	1.126094E-3
1.0477E-3	1.254948E-4	6.786984E-4	1.25508E-4	1.232905E-3
1.0636E-3	1.255049E-4	6.007427E-4	1.255284E-4	1.339727E-3
1.0795E-3	1.255139E-4	5.227774E-4	1.255506E-4	1.44656E-3
1.0954E-3	1.255215E-4	4.448037E-4	1.255744E-4	1.553405E-3
1.1113E-3	1.25528E-4	3.668226E-4	1.256E-4	1.660264E-3
1.1272E-3	1.255332E-4	2.888353E-4	1.256272E-4	1.767136E-3
1.1431E-3	1.255372E-4	2.108429E-4	1.256562E-4	1.874023E-3
1.159E-3	1.255399E-4	1.328465E-4	1.256868E-4	1.980926E-3
1.1749E-3	1.255414E-4	5.484725E-5	1.257192E-4	2.087846E-3
1.1908E-3	1.255417E-4	-2.315381E-5	1.257532E-4	2.194783E-3
1.2067E-3	1.255407E-4	-1.011555E-4	1.25789E-4	2.30174E-3
1.2226E-3	1.255384E-4	-1.791568E-4	1.258264E-4	2.408716E-3
1.2385E-3	1.25535E-4	-2.571565E-4	1.258656E-4	2.515712E-3
1.2544E-3	1.255303E-4	-3.351535E-4	1.259064E-4	2.622731E-3
1.2703E-3	1.255243E-4	-4.131467E-4	1.25949E-4	2.729772E-3
1.2862E-3	1.255171E-4	-4.911351E-4	1.259932E-4	2.836836E-3
1.3021E-3	1.255087E-4	-5.691174E-4	1.260392E-4	2.943925E-3
1.318E-3	1.25499E-4	-6.470926E-4	1.260868E-4	3.051039E-3
1.3339E-3	1.254881E-4	-7.250595E-4	1.261362E-4	3.15818E-3
1.3498E-3	1.25476E-4	-8.030171E-4	1.261873E-4	3.265349E-3
1.3657E-3	1.254626E-4	-8.809642E-4	1.2624E-4	3.372545E-3
1.3816E-3	1.25448E-4	-9.588997E-4	1.262945E-4	3.479771E-3
1.3975E-3	1.254321E-4	-1.036823E-3	1.263507E-4	3.587028E-3
1.4134E-3	1.25415E-4	-1.114732E-3	1.264086E-4	3.694315E-3
1.4293E-3	1.253966E-4	-1.192626E-3	1.264682E-4	3.801635E-3
