,t,xrms,yrms,hepsny,hepsnz,hep6d,hekinz,hekin,hrrms,hpnum
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.5e-09,0.00015246496227356904,0.0001510465028752294,0.0009685634077369543,5.225031772299038e-15,1.7329160170380797e-23,0.007999999999999995,0.008000000034338681,0.0002146173589249423,1404.3396022335403
2,5e-09,0.0001527748770889272,0.00015138957337613887,0.000967795038902491,9.769704045338266e-12,3.236406252007662e-20,0.007999997912336406,0.007999997940748401,0.00021507897618443825,1404.3396022335403
3,7.500000000000001e-09,0.00015300943346323458,0.00015182635309881628,0.0009658320412435968,5.119270018393296e-11,1.6921124504502965e-19,0.007999979512532514,0.007999979529682047,0.00021555307519037265,1404.3396022335403
4,1e-08,0.0001530032763613735,0.0001525214231416761,0.0009754929078889414,1.5625479280757357e-10,5.305029563470455e-19,0.008000001104156943,0.008000001149924331,0.00021603885552019814,1404.3396022335403
5,1.25e-08,0.00015212086602976342,0.00015411627269311257,0.001000383168076584,2.4267175404873466e-10,8.717007007952652e-19,0.00800001490233908,0.00800001509277951,0.00021654695423963614,1404.3396022335403
6,1.5e-08,0.00014987545746804673,0.00015711383189372598,0.0010031234628484493,2.5347924684085714e-10,9.145098296514935e-19,0.007999988359704025,0.007999988823215155,0.00021713454106517984,1404.3396022335403
7,1.7499999999999998e-08,0.0001462674086680473,0.0001615601907463944,0.0009927691088505476,2.0439377339495447e-10,7.194199627987049e-19,0.007999659155039519,0.007999659998880419,0.00021793542638239634,1404.3396022335403
8,1.9999999999999997e-08,0.00014147557459242774,0.00016734456042315725,0.0009756689534273647,9.49034160185849e-11,3.181077021062753e-19,0.007998112939997278,0.007998114009811354,0.0002191336124593334,1404.3396022335403
9,2.2499999999999996e-08,0.00013654975636802965,0.00017327406801537128,0.0011461244829928646,3.83172310893004e-10,1.5939040618560463e-18,0.007993861904587497,0.007993863017045442,0.0002206121905307224,1404.3396022335403
10,2.4999999999999996e-08,0.0001330542995142657,0.000177385734955709,0.001418604702336695,6.710222835353386e-10,3.8982755318473385e-18,0.007990012293846379,0.007990013457478793,0.0002217411679977558,1404.3396022335403
11,2.7499999999999995e-08,0.00013249031275889756,0.00017756748153461758,0.0014554298652380924,7.367176041481983e-10,4.496161509533802e-18,0.007989204244861495,0.007989205418255369,0.00022154885121231668,1404.3396022335403
12,3e-08,0.00013498621683606345,0.00017369222087320103,0.0014108377173246897,6.743375710824439e-10,3.8977962960746585e-18,0.007989877656442877,0.007989879600985255,0.00021997787690487784,1404.3396022335403
13,3.25e-08,0.00014045935310708443,0.00016597395851694903,0.0011365298076947423,3.7732614343224533e-10,1.5463066944663697e-18,0.007992827568376371,0.007992830273088305,0.00021743087356915656,1404.3396022335403
14,3.5e-08,0.00014736231957751753,0.00015654442181773634,0.0009716985075499089,1.5850022218047016e-10,5.488104555649521e-19,0.007995684008338942,0.007995686971577334,0.00021499257948477145,1404.3396022335403
15,3.7500000000000005e-08,0.0001536378488974288,0.00014774325370598435,0.0010807934759596597,4.834582051261348e-10,2.2222908007247454e-18,0.00799609577846113,0.007996097979051642,0.0002131493786748158,1404.3396022335403
16,4.000000000000001e-08,0.00015697224897924322,0.00014179813345003124,0.0011833159008148033,6.575056203162183e-10,3.698252250494181e-18,0.007995902659271406,0.007995903592869502,0.00021153486142835748,1404.3396022335403
17,4.250000000000001e-08,0.00015673159991652568,0.00013911355983991792,0.0011817321094037586,6.522488076731985e-10,3.646349885616988e-18,0.007995981326728496,0.007995981828565294,0.00020956473210854992,1404.3396022335403
18,4.500000000000001e-08,0.0001529412058637096,0.00013960957895902242,0.0010860463724446142,4.890324527704928e-10,2.1590866461914137e-18,0.007996730067696954,0.007996731110800898,0.0002070793253518108,1404.3396022335403
19,4.7500000000000015e-08,0.0001466792535133784,0.0001423769216820224,0.0010199213967116768,2.7710956520659147e-10,1.0001278426427251e-18,0.007997694149158139,0.007997695985007814,0.00020441622058655392,1404.3396022335403
20,5.000000000000002e-08,0.00014017827370295738,0.0001453728900936184,0.001055575911901775,2.874454205196368e-10,1.1076350492598372e-18,0.007997741499226123,0.007997743457331242,0.00020194857165256824,1404.3396022335403
21,5.250000000000002e-08,0.00013504128609435274,0.00014693051117072102,0.0011094477934297956,3.74803263627989e-10,1.6047034373702497e-18,0.007997464050117841,0.007997465472235328,0.0001995613290768184,1404.3396022335403
22,5.500000000000002e-08,0.00013182642153267637,0.00014642661579363278,0.0011098832462600955,3.755471882629337e-10,1.6113030288228186e-18,0.007997479668490298,0.00799748042024339,0.00019702527560413926,1404.3396022335403
23,5.7500000000000025e-08,0.00013049775039335697,0.00014386115271822314,0.0010583610688725156,2.8611888409450357e-10,1.1233898848266035e-18,0.007997870228656992,0.00799787057072498,0.00019423103284270211,1404.3396022335403
24,6.000000000000002e-08,0.00013070539788312754,0.00013958940730083078,0.0009939141627108086,1.309915144947467e-10,4.555252521842425e-19,0.007998529085905825,0.007998529227401588,0.00019123049878715453,1404.3396022335403
25,6.250000000000002e-08,0.0001312794553315319,0.00013495481598684418,0.0009814938212881384,1.5392242900065804e-10,5.218557813463721e-19,0.007998999801988572,0.00799899985041802,0.00018827399647903227,1404.3396022335403
26,6.500000000000003e-08,0.00013123230461828002,0.00013097809151119786,0.0009940526054587452,2.3584532584862576e-10,8.220502774589472e-19,0.007999167571570967,0.007999167576836256,0.0001854108363374179,1404.3396022335403
27,6.750000000000003e-08,0.00013002390835553402,0.00012819162602103896,0.000996645032103671,2.520425666244186e-10,8.814002326685035e-19,0.007999145988917161,0.007999146078027831,0.00018259055212679057,1404.3396022335403
28,7.000000000000003e-08,0.00012764038000327474,0.00012659602550118792,0.0009958471947203414,2.3730065936232465e-10,8.254450616462684e-19,0.007999215211864294,0.007999215543075484,0.00017977380309733062,1404.3396022335403
29,7.250000000000003e-08,0.00012420932848462998,0.00012608568384551012,0.0009889133560741004,1.7928657310549098e-10,6.123377328609153e-19,0.007999252607125206,0.007999253231534859,0.0001769902736124012,1404.3396022335403
30,7.500000000000004e-08,0.00012041556438789793,0.00012596832334644615,0.0009909003163022887,1.4821423698179516e-10,5.089643782523888e-19,0.00799911866128434,0.007999119433481496,0.00017426395678272314,1404.3396022335403
31,7.750000000000004e-08,0.00011689207715012557,0.00012561229457534945,0.0009995089567776197,1.692566141842261e-10,5.940818005571684e-19,0.007998966256327051,0.007998966917801994,0.00017158731377626748,1404.3396022335403
32,8.000000000000004e-08,0.00011416341815610842,0.00012443059175076926,0.0010009080011524854,1.7536377428468708e-10,6.191485122858309e-19,0.00799891915669958,0.007998919577985875,0.0001688675759538612,1404.3396022335403
33,8.250000000000004e-08,0.00011229545026244531,0.00012235460113374513,0.0009990961956279788,1.672021604788018e-10,5.8844055263578975e-19,0.007998918124943296,0.007998918349389551,0.00016607503294668706,1404.3396022335403
34,8.500000000000005e-08,0.00011125490698763988,0.00011941894565592739,0.0009889146435052279,1.2877093970861954e-10,4.43609842332644e-19,0.007999134067985789,0.007999134148324679,0.00016321317014996595,1404.3396022335403
35,8.750000000000005e-08,0.00011069397656546863,0.0001160063415215959,0.0009821224143164084,1.07417671647846e-10,3.641894312311822e-19,0.007999411183559292,0.007999411199048593,0.00016034533894411043,1404.3396022335403
36,9.000000000000005e-08,0.0001100730354957162,0.00011269434707402753,0.0009854306360134492,1.4505466398010213e-10,4.940924372908107e-19,0.007999523989285611,0.007999524004881988,0.00015753123184207815,1404.3396022335403
37,9.250000000000005e-08,0.00010890924135566853,0.00010999993690710939,0.0009899038442010885,1.7481494154556652e-10,6.002740429371705e-19,0.007999573549615977,0.00799957362131717,0.0001547940857146529,1404.3396022335403
38,9.500000000000006e-08,0.00010707551503341475,0.00010803464381874519,0.0009901690029249723,1.7596170289574527e-10,6.042892469529104e-19,0.007999582306851506,0.007999582508116016,0.00015210736400554105,1404.3396022335403
39,9.750000000000006e-08,0.00010458918426227933,0.00010678405119823342,0.0009889533157719907,1.6507507703857751e-10,5.6490190985441685e-19,0.007999527344717311,0.007999527720408165,0.0001494715058295592,1404.3396022335403
40,1.0000000000000006e-07,0.00010166022235640506,0.00010605792408214773,0.000988082139673334,1.4896436481702724e-10,5.093138294670839e-19,0.007999423113073277,0.007999423625348225,0.00014691182413328183,1404.3396022335403
41,1.0250000000000006e-07,9.871960229255554e-05,0.00010540666410947546,0.0009888631000886812,1.424924123950972e-10,4.894730021170182e-19,0.007999252664088206,0.007999253192794452,0.00014441649737993275,1404.3396022335403
42,1.0500000000000007e-07,9.613976006421477e-05,0.00010443649096930574,0.0009906166072309352,1.4598635287507765e-10,5.044581933487046e-19,0.00799911936692925,0.00799911979362564,0.00014195011134615805,1404.3396022335403
43,1.0750000000000007e-07,9.411655845222915e-05,0.0001029318237543686,0.0009904616018639862,1.4411258243537218e-10,4.981126492578882e-19,0.007999117466033837,0.007999117743812876,0.00013947360652213832,1404.3396022335403
44,1.1000000000000007e-07,9.264950186007592e-05,0.00010089457513279344,0.000988219820320835,1.3178800931499198e-10,4.532065791180864e-19,0.007999174532516324,0.007999174691113782,0.00013698045658467895,1404.3396022335403
45,1.1250000000000007e-07,9.164022562045587e-05,9.842049713815254e-05,0.0009859547051969655,1.222864606293494e-10,4.177258127289294e-19,0.007999304335377934,0.007999304422281724,0.00013447871656395725,1404.3396022335403
46,1.1500000000000008e-07,9.076815053298677e-05,9.588005723778639e-05,0.0009862457224455255,1.3308452026162386e-10,4.536606060514702e-19,0.007999467550132505,0.007999467617584714,0.00013202970320007595,1404.3396022335403
47,1.1750000000000008e-07,8.97137401854594e-05,9.360662624074769e-05,0.0009877924487009001,1.5053810643567301e-10,5.138915332643773e-19,0.007999559329225893,0.00799955943509851,0.00012965629816649537,1404.3396022335403
48,1.2000000000000007e-07,8.823670562573048e-05,9.186746688248288e-05,0.0009884716673561995,1.5855145194741468e-10,5.415691192442383e-19,0.007999560295938388,0.007999560498053162,0.00012737875682815368,1404.3396022335403
49,1.2250000000000007e-07,8.63236508340604e-05,9.067739502417796e-05,0.0009883447689646944,1.5752224732313927e-10,5.378940643258514e-19,0.00799956934155897,0.007999569674665391,0.00012519649620373402,1404.3396022335403
50,1.2500000000000007e-07,8.401710238522227e-05,9.000860418988708e-05,0.0009868409395881975,1.4550392655903817e-10,4.958081510755648e-19,0.0079994758399044,0.007999476311431742,0.00012312766675861555,1404.3396022335403
51,1.2750000000000008e-07,8.157667496002364e-05,8.958805381017802e-05,0.000985708260981354,1.3495486594478211e-10,4.5996595351409095e-19,0.00799927776473499,0.007999278305047344,0.00012116424094190784,1404.3396022335403
52,1.3000000000000008e-07,7.932291379252145e-05,8.908683900976402e-05,0.0009857428960562496,1.322092118910529e-10,4.517694162654481e-19,0.007999136078741009,0.007999136561592478,0.0001192836515926948,1404.3396022335403
53,1.3250000000000008e-07,7.752213014877447e-05,8.819042209674981e-05,0.0009856921118751997,1.2944009915858674e-10,4.427500083439184e-19,0.00799909091964967,0.007999091276253468,0.00011741904109813887,1404.3396022335403
54,1.3500000000000008e-07,7.621879573672022e-05,8.685950727397383e-05,0.0009856260691387575,1.2737871306007477e-10,4.356058907207774e-19,0.007999091805600034,0.007999092040961912,0.00011555898419176847,1404.3396022335403
55,1.3750000000000009e-07,7.539845343027533e-05,8.51126879440835e-05,0.0009853919876911166,1.2187545118643908e-10,4.160031845208226e-19,0.007999220065403028,0.007999220208518402,0.0001137061846547686,1404.3396022335403
56,1.400000000000001e-07,7.489270497648026e-05,8.31453826977887e-05,0.0009861136159001577,1.2323149468860904e-10,4.2025087974807535e-19,0.00799940612288856,0.007999406224129936,0.00011190206397853372,1404.3396022335403
57,1.425000000000001e-07,7.444184777318324e-05,8.12584747086481e-05,0.0009876184105487994,1.3502299820201746e-10,4.608935719597299e-19,0.007999544757873399,0.007999544867285331,0.00011020221600250055,1404.3396022335403
58,1.450000000000001e-07,7.380001575450572e-05,7.973619587605794e-05,0.0009886870322489132,1.4487934676144996e-10,4.950635975202598e-19,0.007999625018138144,0.007999625178530423,0.00010864761045761831,1404.3396022335403
59,1.475000000000001e-07,7.287274654681272e-05,7.868020116660884e-05,0.0009886878121706957,1.4604920477159328e-10,4.990238069857587e-19,0.007999627237676285,0.007999627484464294,0.00010724276779761906,1404.3396022335403
60,1.500000000000001e-07,7.166670887053191e-05,7.808944960580322e-05,0.0009873915404397355,1.4352223373597984e-10,4.894352997468642e-19,0.007999589885744323,0.007999590231191343,0.00010599093970746205,1404.3396022335403
61,1.525000000000001e-07,7.02714948640512e-05,7.788842301971017e-05,0.000985315743539539,1.3664992038359265e-10,4.648685656913623e-19,0.007999495478533528,0.007999495896417338,0.00010490323841962979,1404.3396022335403
62,1.550000000000001e-07,6.893992620630409e-05,7.7796336709902e-05,0.0009839105036843522,1.3119405051444876e-10,4.4608593946702e-19,0.007999337990366718,0.007999338410785331,0.00010394702223157285,1404.3396022335403
63,1.575000000000001e-07,6.793225696865805e-05,7.752694167820295e-05,0.000983621733746216,1.3076782865884873e-10,4.450023477668485e-19,0.00799922930754442,0.007999229655980666,0.00010307869917122194,1404.3396022335403
64,1.600000000000001e-07,6.739444708109342e-05,7.6913864089073e-05,0.0009836884915854997,1.298934065969561e-10,4.421604959952105e-19,0.007999222894211348,0.007999223143740686,0.00010226316045614225,1404.3396022335403
65,1.625000000000001e-07,6.733498260574477e-05,7.595342264710717e-05,0.000984258454782817,1.2694213179598533e-10,4.3241322704871326e-19,0.007999238409335743,0.007999238578375947,0.00010150331174068185,1404.3396022335403
