,t,xrms,yrms,hepsny,hepsnz,hep6d,hekinz,hekin,hrrms,hpnum
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.5e-09,0.0001533969571053419,0.0001519858377772231,0.0009689640687523077,9.050020500783589e-15,3.0014859338777665e-23,0.007999999999999995,0.008000000374345357,0.00021594055046244204,1404.3396022335403
2,5e-09,0.00015557651876213174,0.00015418152338797717,0.0009681004528211401,1.0130300645320803e-11,3.355810975573925e-20,0.007999997898729978,0.007999998255775886,0.00021903423327046683,1404.3396022335403
3,7.500000000000001e-09,0.00015767856851489978,0.0001564720581718913,0.000965767521826968,5.4098606887967675e-11,1.7883468876655114e-19,0.007999979446492559,0.007999979763945802,0.0002221396766844133,1404.3396022335403
4,1e-08,0.00015953162229633832,0.00015902748227930344,0.0009766175105558,1.680744065135519e-10,5.740766308032084e-19,0.008000004951745838,0.008000005221045272,0.00022525558513074816,1404.3396022335403
5,1.25e-08,0.0001604653868236676,0.0001625236261938661,0.0010057941379872583,2.6237038993150146e-10,9.586521049973423e-19,0.00800001970647349,0.008000019935569667,0.00022839235854045728,1404.3396022335403
6,1.5e-08,0.00015995592316169388,0.00016750045401177536,0.001008884008900211,2.739596431252074e-10,1.0058529155390376e-18,0.00799999019362229,0.007999990443341421,0.00023160807293499204,1404.3396022335403
7,1.7499999999999998e-08,0.0001579877827432853,0.00017402179030758376,0.0009971648506117137,2.178079306289491e-10,7.764677110597856e-19,0.00799961383830964,0.007999614254241666,0.00023503983279009577,1404.3396022335403
8,1.9999999999999997e-08,0.00015473062039265742,0.0001819921468007595,0.000980451165037703,1.1446367500537898e-10,3.855797297060049e-19,0.00799783969312968,0.00799784017726731,0.00023887801569890405,1404.3396022335403
9,2.2499999999999996e-08,0.00015132395850042684,0.00019011688270000073,0.0012324055744678511,4.866843331142797e-10,2.2485208263724907e-18,0.007992837974008954,0.007992838533619975,0.00024298841434069391,1404.3396022335403
10,2.4999999999999996e-08,0.00014949976303067224,0.00019625001078085464,0.0016001832086997478,8.377013290817398e-10,5.946071754445074e-18,0.007988331308739044,0.007988332369433117,0.0002467068014419398,1404.3396022335403
11,2.7499999999999995e-08,0.00015097460194029113,0.00019801182381541413,0.0016415833098564667,9.161623307432634e-10,6.877301426393788e-18,0.007987435825090115,0.007987437664222191,0.00024900203373012027,1404.3396022335403
12,3e-08,0.00015592634749532169,0.00019525042680384628,0.0015910663197069748,8.388674774124422e-10,5.9330790489846914e-18,0.007988133936647782,0.007988137665437394,0.0002498714769843008,1404.3396022335403
13,3.25e-08,0.00016432435711268044,0.00018814403723329474,0.0012086937341011835,4.5122562412169906e-10,2.007398120707033e-18,0.007991395726043156,0.007991401292920374,0.00024980126718441426,1404.3396022335403
14,3.5e-08,0.00017438254784966448,0.000179096290449849,0.0010033491531034706,2.4857466468669635e-10,9.483597997374941e-19,0.00799424269473989,0.007994248949186095,0.0002499695066351838,1404.3396022335403
15,3.7500000000000005e-08,0.0001837021976655027,0.00017075089791773537,0.001220466030152605,7.108602649919228e-10,4.463689529852286e-18,0.007993866503024838,0.007993871356740167,0.00025080344209529567,1404.3396022335403
16,4.000000000000001e-08,0.00018946375781857803,0.00016572619246346668,0.0013982332211093563,9.546865207138688e-10,8.115979719614102e-18,0.007993167149603757,0.00799316950494598,0.00025171747336085907,1404.3396022335403
17,4.250000000000001e-08,0.00019091544891982685,0.00016450644103680208,0.0013958512711382655,9.477339991809107e-10,8.159415067113602e-18,0.007993278752264323,0.007993279570181188,0.0002520140428207402,1404.3396022335403
18,4.500000000000001e-08,0.00018804725726056815,0.0001670446686221937,0.0012250889758652981,7.165358709684526e-10,4.47841988501932e-18,0.007994722199442259,0.007994722841581186,0.00025152672279167635,1404.3396022335403
19,4.7500000000000015e-08,0.00018212650387757157,0.00017230457001014468,0.001110101969904296,4.3397909847862027e-10,2.0155187319522887e-18,0.00799682843365427,0.007996829659959447,0.0002507168288349387,1404.3396022335403
20,5.000000000000002e-08,0.00017591502185110172,0.00017782230479133074,0.0011831069961123891,4.601591749319043e-10,2.3742547889971527e-18,0.007997453488307561,0.007997454921307547,0.00025013369823791143,1404.3396022335403
21,5.250000000000002e-08,0.00017142287190752132,0.00018153907451102407,0.0012941860808976672,5.913027091044947e-10,3.639642764913729e-18,0.007997281335290879,0.00799728246404967,0.00024968427380862737,1404.3396022335403
22,5.500000000000002e-08,0.00016936494232407706,0.00018269381539327188,0.0012953058057767928,5.919964313196818e-10,3.633215605370309e-18,0.007997315927160555,0.007997316720784233,0.0002491214841626247,1404.3396022335403
23,5.7500000000000025e-08,0.00016971932456278816,0.0001812632007576053,0.0011848961255291942,4.4558299427708145e-10,2.297606217180349e-18,0.00799781123132514,0.007997812070308833,0.00024831632463239497,1404.3396022335403
24,6.000000000000002e-08,0.00017207291623932752,0.0001776324138829636,0.0010432262122144732,2.0511400378585562e-10,8.223272219680077e-19,0.007998502301766965,0.00799850325182818,0.00024731025648968766,1404.3396022335403
