,t,xrms,yrms,hepsny,hepsnz,hep6d,hekinz,hekin,hrrms,hpnum
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.5e-09,0.00015339634645071876,0.00015198643952067865,0.0009689377698883037,0.0,0.0,0.008000000000000002,0.008000000374169418,0.0002159405402016996,1404.3396022335403
2,5e-09,0.00015557287639214726,0.0001541851472681024,0.0009679994732066133,1.1132073851239024e-11,3.6871819685798516e-20,0.007999997525339612,0.007999997880562586,0.00021903419711773948,1404.3396022335403
3,7.500000000000001e-09,0.00015766336624457373,0.00015648718679262607,0.0009656251769212112,5.94483046165353e-11,1.9653679247082473e-19,0.007999977645753206,0.007999977958366856,0.0002221395432736838,1404.3396022335403
4,1e-08,0.00015947944118508745,0.00015907948384763835,0.0009799691008898406,1.8469648959580483e-10,6.362734667336405e-19,0.008000009236238781,0.008000009506552812,0.00022525535363657575,1404.3396022335403
5,1.25e-08,0.00016028502421532538,0.0001627052054671771,0.0010158486858797243,2.883169508025724e-10,1.0775463598962826e-18,0.008000029535513936,0.008000029792476722,0.00022839499310147707,1404.3396022335403
6,1.5e-08,0.00015950585756517919,0.00016795921370283464,0.0010195104239461479,3.010512747069845e-10,1.1316774911043556e-18,0.00799999741384345,0.00799999774199553,0.00023162991185353781,1404.3396022335403
7,1.7499999999999998e-08,0.0001571277143712654,0.00017491444127404768,0.0010045446900454275,2.3937918947215844e-10,8.68134877373709e-19,0.007999536400681798,0.007999536971073383,0.00023512588200738394,1404.3396022335403
8,1.9999999999999997e-08,0.0001533405640090757,0.0001834698160425779,0.0009826121102932948,1.2710674390456026e-10,4.2966205853353485e-19,0.007997374355320956,0.00799737502945452,0.00023911190260904794,1404.3396022335403
9,2.2499999999999996e-08,0.0001493896767288293,0.000192193203788246,0.0012903341695190073,5.398770253330731e-10,2.635688401410177e-18,0.007991312070480264,0.007991312831870207,0.00024342453264930875,1404.3396022335403
10,2.4999999999999996e-08,0.00014715673961137598,0.0001986978004195195,0.0017266225336484845,9.28799971474024e-10,7.295827170396496e-18,0.007985843494638245,0.007985844824182346,0.00024725679344480205,1404.3396022335403
11,2.7499999999999995e-08,0.00014849775143877948,0.00020032475594488431,0.001774521077384752,1.0153522695293965e-09,8.472283019480904e-18,0.007984744639166512,0.007984746769507335,0.00024936236690156554,1404.3396022335403
12,3e-08,0.00015360521785151582,0.00019691362736645233,0.0017173599682784248,9.311217114925621e-10,7.289520291247837e-18,0.007985595083257083,0.007985599307141183,0.0002497389428860178,1404.3396022335403
13,3.25e-08,0.0001624489740534376,0.00018867435606260852,0.0012720630220723569,5.076803237702755e-10,2.389899306224823e-18,0.007989524420931617,0.007989530647644348,0.0002489732552035548,1404.3396022335403
14,3.5e-08,0.0001730978273314627,0.00017828173856774805,0.0010167387835625507,2.6766217607668797e-10,1.0521060241991571e-18,0.007992950358521678,0.007992957317132628,0.00024848991153286634,1404.3396022335403
