,t,xrms,yrms,hepsny,hepsnz,hep6d,hekinz,hekin,hrrms,hpnum
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.5e-09,0.00015339696390800127,0.0001519858310738574,0.0009689643624944015,1.1683524752473533e-14,3.874902864206455e-23,0.008000000000260505,0.008000000374607828,0.00021594055057678202,140433960.22335404
2,5e-09,0.00016152204226344054,0.0001600884315634608,0.0016926632691388723,1.6314861378609048e-09,1.6366284998171025e-17,0.008184028328502188,0.008184028597789895,0.0002274152063020447,140433960.22335404
3,7.500000000000001e-09,0.00017907639666930186,0.00017781248342009474,0.002771616170529021,3.3138620124900064e-09,1.0386136376429279e-16,0.00824902036363128,0.008249020562150884,0.00025236012978298024,140433960.22335404
4,1e-08,0.00020427757086283665,0.00020378026430489818,0.003782558291563655,4.8129598082811775e-09,2.976347854418892e-16,0.008307725756794306,0.008307726273660132,0.00028854067664333815,140433960.22335404
5,1.25e-08,0.00023506543661583259,0.00023781140559011983,0.004861404844985142,6.067885932283654e-09,6.184229415216926e-16,0.008338575543236247,0.008338576963282907,0.0003343800593937092,140433960.22335404
6,1.5e-08,0.0002692250549664425,0.0002795066373340681,0.005991035289573137,7.08062851535536e-09,1.1372693835824845e-15,0.008340777364700762,0.008340778814644706,0.0003880800053281311,140433960.22335404
7,1.7499999999999998e-08,0.0003055318860455714,0.000325495804329825,0.0075122656022809575,8.123823550517361e-09,1.998227091965382e-15,0.008333029064410798,0.008333038194843288,0.00044642720798231345,139731790.42223728
8,1.9999999999999997e-08,0.0003412309563668074,0.00037682111393555956,0.009458580316906126,9.067279196527331e-09,3.2208980868488406e-15,0.008320403336967529,0.008320428247557554,0.0005083627813782614,138327450.82000375
9,2.2499999999999996e-08,0.000379491486208141,0.0004291517415802456,0.012540292658666255,1.1113524012922803e-08,5.6212464930939695e-15,0.008300070006509692,0.008300162188444548,0.00057287433648735,136220941.41665342
10,2.4999999999999996e-08,0.0004139976213429015,0.00046889369174243445,0.017267518080177978,1.4205124018584495e-08,1.3277548147110268e-14,0.008273937506239996,0.008274526568369071,0.0006255040564484211,122177545.39431803
11,2.7499999999999995e-08,0.0004434746582882803,0.0005005523789061562,0.02474620399015423,1.471846615716235e-08,2.8219720923230062e-14,0.008285667951830994,0.008285897804762072,0.0006687469301406318,104623300.36639877
12,3e-08,0.0005016688688933088,0.00048083565079106626,0.027081487762279297,1.4514353192777385e-08,4.557375410464866e-14,0.00831494194725047,0.008315417512546686,0.0006948917736513795,92686413.74741368
13,3.25e-08,0.000506844446362442,0.00045061950528584455,0.024428500896797517,1.487259020158452e-08,4.336864761403951e-14,0.008389329545573093,0.008389566006184426,0.0006781955701363064,73727829.11726087
14,3.5e-08,0.0005257462989666446,0.0004265357600014352,0.021351207640118164,1.7237077375371216e-08,4.7313584315338533e-14,0.008366533204803435,0.00836762367434562,0.0006770095460457898,63195282.10050932
15,3.7500000000000005e-08,0.0005195846467845825,0.00042494994695078963,0.023611802127926282,1.7888953741556567e-08,5.404697859805168e-14,0.008257468188790152,0.008258402790989248,0.0006712307074231171,52662735.083757766
16,4.000000000000001e-08,0.0005127999443927359,0.0004304419141454233,0.02639433064407897,2.234805689956676e-08,7.375608222837336e-14,0.008244452318444985,0.008244833581299725,0.0006695102870175849,44938867.271473296
17,4.250000000000001e-08,0.0005135308438880667,0.0004632539647639161,0.02709018887739841,2.5241659990310657e-08,8.208666056618817e-14,0.008327154444834587,0.008327555459961803,0.0006916054970095869,41428018.26588944
18,4.500000000000001e-08,0.00045404052010923244,0.0004754236391016489,0.02219969042858693,2.5047522167719264e-08,5.1435244278349006e-14,0.00847338468184677,0.008473396814836743,0.0006574043128225713,33704150.453604974
19,4.7500000000000015e-08,0.00039655521650440445,0.0004987925352058734,0.02243867376521698,2.4178230302949533e-08,3.2424807862032167e-14,0.008499073309074859,0.008499403492464364,0.0006372205528025265,27384622.24355404
20,5.000000000000002e-08,0.0003990447245954405,0.0004968845349177913,0.023596150893310314,2.2997435664836247e-08,3.6390786787670016e-14,0.008388134074595722,0.008389074394247962,0.000637284028724964,24575943.03908696
21,5.250000000000002e-08,0.00033855785840002805,0.000511399163314525,0.023131912295900715,1.896467056271519e-08,2.2370952920179074e-14,0.008349017515523275,0.00834930425032614,0.0006133111182126162,21065094.033503108
22,5.500000000000002e-08,0.00030243362026791495,0.00048444949548221756,0.01842453570809889,1.568942360152433e-08,1.4092059500338702e-14,0.00815033879196051,0.008150351151008166,0.0005711019246520996,17554245.027919255
23,5.7500000000000025e-08,0.0003216061116137927,0.00046153427406617773,0.012224663774567006,1.3979797409527301e-08,7.929095792597589e-15,0.008345935095521185,0.008346358502945022,0.0005625338897925501,16149905.425685715
24,6.000000000000002e-08,0.00034093145616918564,0.0004267969184721778,0.009017982250986212,1.5241513490153474e-08,5.080384422135024e-15,0.008139837812051088,0.008140055858735317,0.000546250736771117,14745565.823452175
25,6.250000000000002e-08,0.0003335462322861061,0.0004512655249384424,0.00895506575946838,1.692654451542462e-08,3.4663768259301383e-15,0.008127768269774415,0.008128072287184039,0.0005611538675534769,14043396.022335405
26,6.500000000000003e-08,0.0003478098044538483,0.00046853370831582606,0.010805279794804392,1.6502866865547214e-08,3.923188336410126e-15,0.008123567847291194,0.00812392147369618,0.0005835199190279658,14043396.022335405
27,6.750000000000003e-08,0.00036266401621689855,0.0004863791309406038,0.011986755601442843,1.546562299193017e-08,4.588037750378842e-15,0.00811674307484263,0.008117117146808671,0.0006067040857560692,14043396.022335405
28,7.000000000000003e-08,0.000387284166160056,0.0004653085822075236,0.011102427511969694,1.3525078540465094e-08,4.078849010738084e-15,0.007994510086593553,0.007994780938333168,0.000605393344887657,13341226.221218634
29,7.250000000000003e-08,0.0003804819308807971,0.0004342086240989725,0.009970876859261766,1.301666067796134e-08,2.9334881561294838e-15,0.00799712566975357,0.007997606274258554,0.000577324543882124,11936886.618985094
30,7.500000000000004e-08,0.0003755141459131055,0.0004545860288019441,0.009515425553672872,1.1348616317876135e-08,1.6170923293207773e-15,0.008154188871416232,0.008154382689859479,0.0005896264337381517,11234716.817868324
31,7.750000000000004e-08,0.0003968405704526729,0.00045088902687617587,0.008363523409262703,1.336190981539473e-08,2.351436179718026e-15,0.008153753650181117,0.008154179291278787,0.0006006524393645194,10532547.016751554
32,8.000000000000004e-08,0.00040877410733639746,0.00046730208887809174,0.007819591901245216,1.5998898631157357e-08,4.67191425721117e-15,0.008162234863155439,0.008162559506019273,0.0006208603007911655,10532547.016751554
33,8.250000000000004e-08,0.0003818865902746361,0.0004579484212691078,0.007223812875977759,1.737773195281129e-08,5.984297982294049e-15,0.008280798165500543,0.00828155878281359,0.0005962835939169012,9830377.215634784
34,8.500000000000005e-08,0.0003914367355899282,0.0004739419014387495,0.007703567596835799,1.8008441662783306e-08,6.758938894507135e-15,0.008287717763426121,0.008288392137470724,0.0006146898762048036,9830377.215634784
35,8.750000000000005e-08,0.0004007092943669104,0.0004898489725366671,0.0075386420722597745,1.7410157711770493e-08,5.2034006224238745e-15,0.00829195358171455,0.008292603035529639,0.0006328664586524203,9830377.215634784
36,9.000000000000005e-08,0.00041031332561013216,0.000505232197847506,0.006127824791572985,1.4438823486828276e-08,2.323422157045781e-15,0.008292154879033987,0.00829285361360354,0.0006508583554930118,9830377.215634784
37,9.250000000000005e-08,0.0004338342018036078,0.0005267553232829149,0.005921283136494363,1.1862146276056097e-08,1.0140332991235835e-15,0.008335425892010424,0.008335991265889266,0.0006824099099965224,9128207.414518014
38,9.500000000000006e-08,0.0004454740872330181,0.0005408099369775949,0.008267165967914604,1.0603900761491288e-08,1.2644433391903675e-15,0.0083297524491264,0.008330420672212433,0.0007006586546456133,9128207.414518014
39,9.750000000000006e-08,0.00038561434048256244,0.0005376526586008516,0.011058561905606747,1.2523797010559695e-08,2.4760086424469677e-15,0.008369732593232359,0.008370187429366679,0.0006616409909356927,7723867.812284472
40,1.0000000000000006e-07,0.0003977668801498259,0.0005497318879984074,0.011950598596051873,1.4913043915103337e-08,3.574053189837592e-15,0.008368517823001121,0.00836902130052112,0.0006785452377155259,7723867.812284472
41,1.0250000000000006e-07,0.0004096308365475203,0.0005623069993616258,0.010215455308043702,1.6687960797177737e-08,3.2399018895298165e-15,0.00837096802940856,0.008371509900917952,0.0006956914429412631,7723867.812284472
42,1.0500000000000007e-07,0.00042032283385926505,0.0005759306208590376,0.007615080171942548,1.6601939337387185e-08,2.4040280422409465e-15,0.008372755495702915,0.00837333286880099,0.0007129988532294844,7723867.812284472
43,1.0750000000000007e-07,0.00042953239183903615,0.0005906783408747037,0.006799413875297093,1.6549740583368895e-08,2.841009163795819e-15,0.008373439898347334,0.008374035757797793,0.0007303416858001849,7723867.812284472
