,t,xrms,yrms,hepsny,hepsnz,hep6d,hekinz,hekin,hrrms,hpnum
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.5e-09,0.00016790529959164016,0.00016266673998887628,0.09814592330842001,1.4778621592431258e-14,5.13739009447907e-19,0.007999999999999967,0.008000132745308563,0.00023377907932397869,1404.3396022335403
2,5e-09,0.00023676010801411426,0.000233306776829536,0.09814585002375562,2.743109023391684e-11,9.535810399141473e-16,0.007999955686851037,0.008000088072364924,0.00033239645133701707,1404.3396022335403
3,7.500000000000001e-09,0.00033542906196333284,0.0003264150816067551,0.09617142456765353,1.8322476601013685e-10,6.2696668835005156e-15,0.007999627737461063,0.007999747476147687,0.000468037884267872,1397.3179042223726
4,1e-08,0.00039083941566040776,0.0003949514431892916,0.0883914096332933,6.585047235285295e-10,1.841254752095936e-14,0.007998072206776894,0.007998148041256306,0.0005556456526520056,1277.9490380325217
5,1.25e-08,0.0004358591903431728,0.00042098527408786647,0.07426992603727692,1.043863273659804e-09,2.1836506272330785e-14,0.007994333851884826,0.007994608907928117,0.0006059718102399172,1039.2113056528199
6,1.5e-08,0.0004398075689735205,0.00041672954841128135,0.06166734164260424,8.79311834727599e-10,1.3153787543308693e-14,0.007995700103130806,0.007997070001078035,0.0006058830037601884,772.3867812284471
7,1.7499999999999998e-08,0.0004570819287915777,0.00038216955734347516,0.047109729582528674,5.821030603628857e-10,5.836043682167548e-15,0.007991755955514511,0.007996179166016363,0.000595799849100297,596.8443309492546
8,1.9999999999999997e-08,0.00044224824115003214,0.0004434089149220884,0.048399453280315786,1.1665575126315128e-09,1.0171142701087831e-14,0.007989773067467197,0.007995574711838902,0.00062625471865103,540.670746859913
9,2.2499999999999996e-08,0.000432210639040176,0.00047176919699306046,0.04557880990046416,2.6958108254504043e-09,1.9813768111677388e-14,0.007975267158260404,0.007983549974344766,0.0006398220156660713,470.453766748236
10,2.4999999999999996e-08,0.0004066302723493894,0.0004628497694834049,0.040699469561181936,3.7151289457192177e-09,1.9301468952683423e-14,0.007959368262126286,0.007968490805864316,0.000616099089028526,351.0849005583851
11,2.7499999999999995e-08,0.0004139135238830937,0.0004875630648636619,0.04454179034421855,3.5837138982075007e-09,1.8257154672568972e-14,0.007954384665790385,0.007957894696470177,0.0006395640292203492,301.93301448021117
12,3e-08,0.00040801703386015675,0.0004644593613135685,0.04191772493561903,2.7878794604435944e-09,1.2532972033346224e-14,0.007962061808189879,0.007962746499101107,0.0006182235827205626,238.73773237970184
13,3.25e-08,0.0004602435379158024,0.0004379460348605418,0.03996639030163168,1.799720567886403e-09,8.574090240719969e-15,0.007973683363019084,0.007973814922246678,0.0006353116114501021,217.67263834619874
