,t,xrms,yrms,hepsny,hepsnz,hep6d,hekinz,hekin,hrrms,hpnum
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.5e-09,0.00015339696390800127,0.0001519858310738574,0.0009689643626285785,7.389310796215629e-15,2.450704062417444e-23,0.007999999999999993,0.008000000374347317,0.00021594055057678202,14.043396022335402
2,5e-09,0.00015557649662087627,0.00015418142067989698,0.0009681009811491693,1.0118640545075017e-11,3.3519577931626804e-20,0.007999995990677508,0.007999996347745699,0.00021903414524611657,14.043396022335402
3,7.500000000000001e-09,0.00015767851301835533,0.00015647166572587835,0.0009657687729396214,5.403820309017914e-11,1.786353639411422e-19,0.007999976918639915,0.007999977236150079,0.0002221393608586976,14.043396022335402
4,1e-08,0.0001595317198251496,0.00015902642085232797,0.0009765839000071472,1.6788923191517867e-10,5.733952639446849e-19,0.008000001777440657,0.008000002046740336,0.0002252549048510859,14.043396022335402
5,1.25e-08,0.00016046655517434243,0.0001625207636240473,0.0010056906096341574,2.620825287710554e-10,9.573766648977803e-19,0.008000016159220675,0.00800001638804566,0.00022839114242558477,14.043396022335402
6,1.5e-08,0.00015995964525433915,0.0001674940449424058,0.0010087746565715266,2.73659946513726e-10,1.004509909453936e-18,0.007999986648276555,0.007999986897215998,0.00023160600855993068,14.043396022335402
7,1.7499999999999998e-08,0.0001579955382990177,0.00017400998693192982,0.0009970836502598138,2.1754894615579713e-10,7.7540305841888105e-19,0.007999611096765434,0.007999611511102955,0.0002350363071409325,14.043396022335402
8,1.9999999999999997e-08,0.0001547437449428946,0.00018197308993412218,0.0009804556795810493,1.1447957303653133e-10,3.8563003811280914e-19,0.00799783941554273,0.007997839897493324,0.00023887199931997837,14.043396022335402
9,2.2499999999999996e-08,0.00015134344783474622,0.00019008924714875996,0.001232740868766274,4.871641457513678e-10,2.252080968159801e-18,0.007992839386685456,0.007992839945172735,0.00024297893135844287,14.043396022335402
10,2.4999999999999996e-08,0.00014952809945924182,0.00019621109320833914,0.0016009607619794383,8.385345073090907e-10,5.9589596640231605e-18,0.00798833289908378,0.007988333962807393,0.0002466930190052091,14.043396022335402
11,2.7499999999999995e-08,0.00015101671969684963,0.00019795666046060198,0.0016424225894946854,9.170771962915223e-10,6.892764512223229e-18,0.007987437561554954,0.007987439410346958,0.00024898371241651715,14.043396022335402
12,3e-08,0.0001559877135485173,0.00019517420778166793,0.001591836890974198,8.396864728162497e-10,5.945883469724694e-18,0.007988133094997468,0.007988136843694121,0.0002498502314613616,14.043396022335402
13,3.25e-08,0.00016441084099363726,0.00018804271182381156,0.00120918181813991,4.5164831422192675e-10,2.0104198453802854e-18,0.00799137728249604,0.007991382880391683,0.00024978187705734003,14.043396022335402
14,3.5e-08,0.00017449700842521167,0.0001789681183274362,0.0010032356597026715,2.49110129035462e-10,9.509098409881743e-19,0.007994188370644455,0.007994194660196028,0.0002499575830556289,14.043396022335402
15,3.7500000000000005e-08,0.0001838430854859396,0.00017059620019847785,0.001219862539011465,7.120167714254357e-10,4.476704890405429e-18,0.007993771569544554,0.007993776449947745,0.00025080140271368026,14.043396022335402
16,4.000000000000001e-08,0.00018962335150066596,0.0001655459964004806,0.0013973801964108341,9.562016668661932e-10,8.142541694700549e-18,0.007993051794937747,0.00799305416237524,0.0002517190742843558,14.043396022335402
17,4.250000000000001e-08,0.00019108448446668102,0.00016430154203012567,0.0013950014216336337,9.492431795203955e-10,8.189236188731479e-18,0.007993164897870298,0.007993165716748598,0.0002520084858042967,14.043396022335402
18,4.500000000000001e-08,0.00018821639693446354,0.0001668152367003179,0.0012246578478520005,7.178896214219034e-10,4.498987464566384e-18,0.00799464568823978,0.007994646327503132,0.00025150096475038547,14.043396022335402
19,4.7500000000000015e-08,0.00018228887774893117,0.00017205057950891135,0.0011097073568447791,4.347403484458946e-10,2.0245005687166108e-18,0.007996816485150375,0.007996817708574204,0.00025066040146045607,14.043396022335402
20,5.000000000000002e-08,0.00017606883014676625,0.00017754486069181366,0.0011819221896610095,4.5962221940781946e-10,2.374268018244353e-18,0.007997495638620525,0.007997497068402035,0.00025004481699752616,14.043396022335402
21,5.250000000000002e-08,0.00017156803987620318,0.00018124277217685013,0.0012921247490845218,5.902410281621098e-10,3.6329873286297834e-18,0.00799734933982127,0.007997350464549828,0.00024956869750293614,14.043396022335402
22,5.500000000000002e-08,0.00016950155149030857,0.00018238463956911545,0.001293226906793024,5.90911199436921e-10,3.6255343039807105e-18,0.00799738448132779,0.007997385271636391,0.0002489878163854165,14.043396022335402
23,5.7500000000000025e-08,0.00016984732695056955,0.0001809473169493312,0.0011835616139128184,4.4479374902976313e-10,2.293700733609831e-18,0.007997861226450395,0.007997862063726035,0.00024817341917178677,14.043396022335402
24,6.000000000000002e-08,0.00017219226360144427,0.0001773154524000508,0.001042967816182635,2.0532660297704345e-10,8.239998803451816e-19,0.007998513078055207,0.007998514028232241,0.0002471658255180597,14.043396022335402
25,6.250000000000002e-08,0.00017499558758474025,0.00017322823455825405,0.001017423507337128,2.7852126916878203e-10,1.0782270909142284e-18,0.007998839615675168,0.007998840422761767,0.00024623459733006243,14.043396022335402
26,6.500000000000003e-08,0.00017694703596938667,0.00016998124026636695,0.0010523243765720935,4.1515017807894984e-10,1.7771873256329604e-18,0.007998910225077017,0.007998910630437986,0.0002453647806447449,14.043396022335402
27,6.750000000000003e-08,0.00017732119818186356,0.00016827607524156596,0.0010579240096149497,4.382852891632809e-10,1.945991847077806e-18,0.007998839784788712,0.007998839849979266,0.000244457858992827,14.043396022335402
